Subject ID,Date,Investigator Initials,Randomization Number,Treatment Assignment,Comment
,___/___/___,,Stratum 3-1,D,
,___/___/___,,Stratum 3-2,B,
,___/___/___,,Stratum 3-3,A,
,___/___/___,,Stratum 3-4,D,
,___/___/___,,Stratum 3-5,C,
,___/___/___,,Stratum 3-6,C,
,___/___/___,,Stratum 3-7,D,
,___/___/___,,Stratum 3-8,A,
,___/___/___,,Stratum 3-9,E,
,___/___/___,,Stratum 3-10,C,
,___/___/___,,Stratum 3-11,A,
,___/___/___,,Stratum 3-12,B,
,___/___/___,,Stratum 3-13,E,
,___/___/___,,Stratum 3-14,E,
,___/___/___,,Stratum 3-15,B,
,___/___/___,,Stratum 3-16,D,
,___/___/___,,Stratum 3-17,A,
,___/___/___,,Stratum 3-18,A,
,___/___/___,,Stratum 3-19,D,
,___/___/___,,Stratum 3-20,B,
,___/___/___,,Stratum 3-21,E,
,___/___/___,,Stratum 3-22,C,
,___/___/___,,Stratum 3-23,C,
,___/___/___,,Stratum 3-24,D,
,___/___/___,,Stratum 3-25,A,
,___/___/___,,Stratum 3-26,E,
,___/___/___,,Stratum 3-27,E,
,___/___/___,,Stratum 3-28,B,
,___/___/___,,Stratum 3-29,B,
,___/___/___,,Stratum 3-30,C,
,___/___/___,,Stratum 3-31,E,
,___/___/___,,Stratum 3-32,C,
,___/___/___,,Stratum 3-33,D,
,___/___/___,,Stratum 3-34,B,
,___/___/___,,Stratum 3-35,B,
,___/___/___,,Stratum 3-36,D,
,___/___/___,,Stratum 3-37,A,
,___/___/___,,Stratum 3-38,A,
,___/___/___,,Stratum 3-39,E,
,___/___/___,,Stratum 3-40,C,
,___/___/___,,Stratum 3-41,A,
,___/___/___,,Stratum 3-42,C,
,___/___/___,,Stratum 3-43,D,
,___/___/___,,Stratum 3-44,E,
,___/___/___,,Stratum 3-45,B,
,___/___/___,,Stratum 3-46,B,
,___/___/___,,Stratum 3-47,D,
,___/___/___,,Stratum 3-48,A,
,___/___/___,,Stratum 3-49,A,
,___/___/___,,Stratum 3-50,C,
,___/___/___,,Stratum 3-51,C,
,___/___/___,,Stratum 3-52,D,
,___/___/___,,Stratum 3-53,E,
,___/___/___,,Stratum 3-54,B,
,___/___/___,,Stratum 3-55,E,
,___/___/___,,Stratum 3-56,E,
,___/___/___,,Stratum 3-57,D,
,___/___/___,,Stratum 3-58,C,
,___/___/___,,Stratum 3-59,B,
,___/___/___,,Stratum 3-60,A,
,___/___/___,,Stratum 3-61,A,
,___/___/___,,Stratum 3-62,B,
,___/___/___,,Stratum 3-63,E,
,___/___/___,,Stratum 3-64,D,
,___/___/___,,Stratum 3-65,C,
,___/___/___,,Stratum 3-66,C,
,___/___/___,,Stratum 3-67,A,
,___/___/___,,Stratum 3-68,B,
,___/___/___,,Stratum 3-69,D,
,___/___/___,,Stratum 3-70,E,
,___/___/___,,Stratum 3-71,E,
,___/___/___,,Stratum 3-72,D,
,___/___/___,,Stratum 3-73,C,
,___/___/___,,Stratum 3-74,B,
,___/___/___,,Stratum 3-75,A,